,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
0,Wed Feb 19 15:59:57 +0000 2020,740528666396893185,0,I like salty Biden when you can tell it’s genuine annoyance.,,,"['I', 'like', 'salty', 'Biden', 'tell', 'it’s', 'genuine', 'annoyance']"
1,Wed Feb 19 15:59:57 +0000 2020,1224748797844185088,0,"#ACD is new in your feed! @MikeBloomberg qualifies for his first debate as he surges in the polls while @JoeBiden banks on a big win this weekend in Nevada. Plus, @ZachEClark & @PreemoTees unveil new power rankings and drop a new #ShutUpAlready! LISTEN:https://anchor.fm/a-common-divide/episodes/A-Common-Divide----February-19--2020-eaumud …",@MikeBloomberg @JoeBiden @ZachEClark @PreemoTees,#ACD #ShutUpAlready,"['#ACD', 'new', 'feed', '@MikeBloomberg', 'qualifies', 'first', 'debate', 'surges', 'polls', '@JoeBiden', 'banks', 'big', 'win', 'weekend', 'Nevada', 'Plus', '@ZachEClark', '@PreemoTees', 'unveil', 'new', 'power', 'rankings', 'drop', 'new', '#ShutUpAlready', 'LISTEN192020eaumud', '…']"
2,Wed Feb 19 15:59:54 +0000 2020,829702207255805953,0,I think you meant to tag @JoeBiden not @JoeBudden lol,@JoeBiden @JoeBudden,,"['I', 'think', 'meant', 'tag', '@JoeBiden', '@JoeBudden', 'lol']"
3,Wed Feb 19 15:59:53 +0000 2020,867794686441861120,0,This would be more powerful if it were true.,,,"['This', 'would', 'powerful', 'true']"
4,Wed Feb 19 15:59:52 +0000 2020,1207965117100515328,0,Go team Joe Biden!,,,"['Go', 'team', 'Joe', 'Biden']"
5,Wed Feb 19 15:59:42 +0000 2020,4037977703,0,He won’t run against Biden because of the told makeup’s story of how shameful his son was doing business in a foreign government gas company! With 60% of his backers leaving him. GOPIGS are traitors to America people and they will do anything to protect 45 so they can destroy USA,,,"['He', 'won’t', 'run', 'Biden', 'told', 'makeup’s', 'story', 'shameful', 'son', 'business', 'foreign', 'government', 'gas', 'company', 'With', '60', 'backers', 'leaving', 'GOPIGS', 'traitors', 'America', 'people', 'anything', 'protect', '45', 'destroy', 'USA']"
6,Wed Feb 19 15:59:41 +0000 2020,1218682150192439296,0,"damn you got me, no one ever gets their account banned or says the word elect in an election bernie is the only one with a block who won't vote blue no matter who. if you try to get someone else to win the primary, it proves you want a weaker candidate vs trump.",,,"['damn', 'got', 'one', 'ever', 'gets', 'account', 'banned', 'says', 'word', 'elect', 'election', 'bernie', 'one', 'block', 'wont', 'vote', 'blue', 'matter', 'try', 'get', 'someone', 'else', 'win', 'primary', 'proves', 'want', 'weaker', 'candidate', 'vs', 'trump']"
7,Wed Feb 19 15:59:38 +0000 2020,1246350990,0,"I saw ""Coffin Joe"" trending and it made me scared for Joe Biden... Turns out it had nothing to do with him",,,"['I', 'saw', 'Coffin', 'Joe', 'trending', 'made', 'scared', 'Joe', 'Biden', 'Turns', 'nothing']"
8,Wed Feb 19 15:59:34 +0000 2020,48786968,0,"You're open to a Republican VP, though.",,,"['Youre', 'open', 'Republican', 'VP', 'though']"
9,Wed Feb 19 15:59:34 +0000 2020,88683599,0,pic.twitter.com/SjEO3rglgz,,,['3rglgz']
10,Wed Feb 19 15:59:32 +0000 2020,821058492018675712,0,@JoeBiden https://twitter.com/ljreina/status/1108146864380170240 …,@JoeBiden,,"['@JoeBiden', '1108146864380170240', '…']"
11,Wed Feb 19 15:59:30 +0000 2020,1178394991422590976,2,Now that’s a powerful endorsement.pic.twitter.com/l4G41xAooX,,,"['Now', 'that’s', 'powerful', '4G41xAooX']"
12,Wed Feb 19 15:59:28 +0000 2020,569273893,0,"@SenSanders @JoeBiden @AOC,stopping attacking others of @TheDemocrats!!!! This only plays into the hands of POTUS:I.E.'divide the competition,&have them destroy their flanks,&finally""conquer""by destroying what is left over"". Stop attacking each other!!!! Policy difference onlyhttps://twitter.com/CNN/status/1229999560006696960 …",@SenSanders @JoeBiden @AOC @TheDemocrats,,"['@SenSanders', '@JoeBiden', '@AOCstopping', 'attacking', 'others', '@TheDemocrats', 'This', 'plays', 'hands', 'POTUSIEdivide', 'competitionhave', 'destroy', 'flanksfinallyconquerby', 'destroying', 'left', 'Stop', 'attacking', 'Policy', 'difference', 'only1229999560006696960', '…']"
13,Wed Feb 19 15:59:27 +0000 2020,891666308064063488,0,Trump has done a fantastic job! Just think how much more he could accomplish with a house willing to work with him instead of doing everything to fight him and the good of the country. TRUMP FIGHTS FOR THE PEEPS DAILY & THE DEMS FIGHT HIM! That’s a fact! #TRUMP2020 #VoteRep2020,,#TRUMP2020 #VoteRep2020,"['Trump', 'done', 'fantastic', 'job', 'Just', 'think', 'much', 'could', 'accomplish', 'house', 'willing', 'work', 'instead', 'everything', 'fight', 'good', 'country', 'TRUMP', 'FIGHTS', 'FOR', 'THE', 'PEEPS', 'DAILY', 'THE', 'DEMS', 'FIGHT', 'HIM', 'That’s', 'fact', '#TRUMP2020', '#VoteRep2020']"
14,Wed Feb 19 15:59:24 +0000 2020,1197496181175324673,0,pic.twitter.com/WY3I4W8afD,,,['3I4W8afD']
15,Wed Feb 19 15:59:24 +0000 2020,3808155194,0,Don’t play the age card.....it will boomerang,,,"['Don’t', 'play', 'age', 'boomerang']"
16,Wed Feb 19 15:59:20 +0000 2020,825137114014633988,0,And reverse his E.O.’s.,,,"['And', 'reverse', 'EO’s']"
17,Wed Feb 19 15:59:20 +0000 2020,57181256,0,Several Joe Biden fundraisers jump ship from his struggling campaign to back Mike Bloomberg https://cnb.cx/39L1YfZ It's a rat!!! Jump! Lol,,,"['Several', 'Joe', 'Biden', 'fundraisers', 'jump', 'ship', 'struggling', 'campaign', 'back', 'Mike', 'Bloomberg', '39L1YfZ', 'Its', 'rat', 'Jump', 'Lol']"
18,Wed Feb 19 15:59:16 +0000 2020,1167318679,0,"The NRA did not fund Bernie, members of the NRA which are in the thousands did donate. I'm a NRA member and I donate to him. So what's your point?",,,"['The', 'NRA', 'fund', 'Bernie', 'members', 'NRA', 'thousands', 'donate', 'Im', 'NRA', 'member', 'I', 'donate', 'So', 'whats', 'point']"
19,Wed Feb 19 15:59:15 +0000 2020,941404320330743809,0,"@MikeBloomberg @ewarren @JoeBiden @amyklobuchar @PeteButtigieg @BernieSanders Y’all, minimize the in-fighting tonight cause Voters are sick of divisiveness. Show us “YOUR” Leadership Qualities. One last thing: there’s nothing undemocratic about a citizen using HIS OWNTO RUN!",@MikeBloomberg @ewarren @JoeBiden @amyklobuchar @PeteButtigieg @BernieSanders,,"['@MikeBloomberg', '@ewarren', '@JoeBiden', '@amyklobuchar', '@PeteButtigieg', '@BernieSanders', 'Y’all', 'minimize', 'infighting', 'tonight', 'cause', 'Voters', 'sick', 'divisiveness', 'Show', 'us', '“YOUR”', 'Leadership', 'Qualities', 'One', 'last', 'thing', 'there’s', 'nothing', 'undemocratic', 'citizen', 'using', 'HIS', 'OWNTO', 'RUN']"
20,Wed Feb 19 15:59:14 +0000 2020,62448165,0,Joe Biden for Senator.,,,"['Joe', 'Biden', 'Senator']"
