Date,bernie sanders,democrat,donald trump,joe biden,republican,#2020election,#feeltheburn,#maga
4/25/19,"74,451","118,304","223,565","440,715","147,214","2,741",30,"135,420"
4/26/19,"52,334","115,034","221,292","352,940","147,450","2,476",145,"148,754"
4/27/19,"42,890","95,150","178,046","175,935","95,979","1,648",217,"119,306"
4/28/19,"55,557","95,662","165,244","118,701","80,150","2,195",88,"192,781"
4/29/19,"37,994","139,684","133,639","170,676","67,920","3,716",28,"111,694"
4/30/19,"68,949","141,450","164,735","187,947","81,646","1,928",34,"119,979"
5/1/19,"54,789","146,579","210,430","127,159","117,107","1,710",48,"109,145"
5/2/19,"24,148","156,995","172,269","93,000","95,775","1,306",37,"110,825"
5/3/19,"34,484","128,880","144,056","87,476","88,864","1,487",30,"138,978"
5/4/19,"28,179","120,403","122,049","62,047","75,392","1,414",21,"112,473"
5/5/19,"28,793","117,359","140,147","80,694","58,109","2,960",33,"101,109"
5/6/19,"28,268","158,756","147,408","67,540","68,265","1,322",35,"113,244"
5/7/19,"21,017","148,362","220,669","61,120","126,609","1,961",36,"112,764"
5/8/19,"17,642","162,562","495,208","57,041","179,733","2,697",23,"194,659"
5/9/19,"43,932","144,414","285,991","67,185","193,634","3,585",30,"160,513"
5/10/19,"26,572","117,655","221,448","103,153","140,430","2,472",38,"108,752"
5/11/19,"23,754","101,860","157,567","100,501","124,451","1,511",32,"107,811"
5/12/19,"17,297","86,691","145,842","80,379","95,855","1,234",11,"99,044"
5/13/19,"42,327","127,702","143,716","93,403","101,014","1,888",27,"109,570"
5/14/19,"23,551","109,722","213,453","71,413","122,419","1,439",29,"106,532"
5/15/19,"32,672","96,914","174,188","58,868","162,852","2,577",17,"102,777"
5/16/19,"21,602","100,688","166,373","54,599","159,317","2,345",38,"117,269"
5/17/19,"21,955","101,944","223,133","59,395","146,375","2,594",24,"100,772"
5/18/19,"33,469","100,432","193,208","80,918","148,296","1,483",35,"91,750"
5/19/19,"45,069","87,465","136,861","76,823","249,136","1,850",29,"84,377"
5/20/19,"60,559","103,751","171,132","76,474","136,876","2,251",31,"125,859"
5/21/19,"38,262","143,813","183,220","92,825","137,869","1,961",63,"157,197"
5/22/19,"41,729","162,534","208,685","51,710","141,816","1,883",33,"108,962"
5/23/19,"21,269","147,811","207,894","62,369","111,614","2,789",37,"120,069"
5/24/19,"18,416","106,235","204,686","40,051","130,265","1,024",34,"109,448"
5/25/19,"50,006",0,"140,729","46,718","92,310",757,29,"105,669"
5/26/19,"27,732",0,"179,124","76,610","85,383",923,14,"104,737"
5/27/19,"20,251",0,"160,590","60,447","71,399",880,25,"115,001"
5/28/19,"21,797",0,"138,996","107,537","100,499","1,562",94,"93,120"
5/29/19,"20,398",0,"151,333","93,234","181,010","2,465",35,"89,871"
5/30/19,"30,515",0,"219,966","53,381","173,833","1,977",33,"108,009"
5/31/19,"23,093",0,"250,749","43,966","147,833","1,175",23,"115,938"
6/1/19,"22,990",0,"211,898","23,623","130,807","3,320",24,"87,165"
6/2/19,"19,880",0,"256,432","21,620","106,843","3,952",20,"78,115"
6/3/19,"17,401",0,"378,800","31,643","86,968","3,100",16,"87,942"
6/4/19,"18,041",0,"364,157","51,923","73,141","2,531",22,"91,541"
6/5/19,"23,323",0,"288,746","87,905","102,416","1,403",42,"88,104"
6/6/19,"27,204",0,"214,262","64,699","97,049","1,207",29,"84,426"
6/7/19,"19,666",0,"162,592","65,398","117,076","1,159",36,"81,968"
6/8/19,"18,253",0,"141,021","47,300","81,619","1,106",36,"93,686"
6/9/19,"25,653",0,"135,029","29,154","61,453","1,146",24,"75,065"
6/10/19,"18,618",0,"137,340","33,746","85,997","1,369",36,"74,995"
6/11/19,"15,844",0,"138,425","96,476","106,671","1,290",43,"85,984"
6/12/19,"33,336",0,"132,712","123,837","105,128","1,750",35,"72,145"
6/13/19,"47,328",0,"249,530","66,342","121,842","2,560",21,"84,079"
6/14/19,"40,031",0,"185,992","44,541","81,498","2,294",90,"118,355"
6/15/19,"20,511",0,"140,092","35,182","59,565","1,094",50,"88,461"
6/16/19,"18,357",0,"178,483","31,107","53,787","2,143",18,"78,967"
6/17/19,"25,160",0,"167,437","42,151","61,263","2,468",25,"76,177"
6/18/19,"25,875",0,"192,758","65,230","107,853","3,348",27,"111,345"
6/19/19,"28,322",0,"248,781","119,909","114,757","3,856",36,"128,527"
6/20/19,"24,965",0,"144,151","158,535","147,253","1,526",48,"85,429"
6/21/19,"25,803",0,"232,691","105,664","118,488","1,857",72,"86,768"
6/22/19,"27,570",0,"232,222","45,357","79,453","1,713",30,"76,840"
6/23/19,"27,693",0,"185,490","72,107","93,210","1,431",26,"73,036"
6/24/19,"67,217","105,242","203,551","33,214","82,121","2,231",30,"74,779"
6/25/19,"57,624","78,481","148,431","58,278","104,238","4,112",36,"77,806"
6/26/19,"47,496","141,198","187,371","38,478","87,798","5,132",33,"74,929"
6/27/19,"73,221","251,845","218,787","61,482","115,919","3,695",18,"89,337"
6/28/19,"120,653","284,266","284,380","314,604","129,180","3,561",170,"72,584"
6/29/19,"35,309","155,398","223,084","95,368","90,376","2,250",26,"65,116"
6/30/19,"39,413","120,503","228,177","81,875","62,999","1,453",23,"73,774"
7/1/19,"37,822","118,947","147,083","46,078","65,628","1,371",28,"68,257"
7/2/19,"36,923","126,040","177,332","37,720","83,984","1,643",52,"86,112"
7/3/19,"34,034","141,107","182,283","21,442","90,497","1,427",39,"81,338"
7/4/19,"20,483","123,593","167,401","19,226","159,988","2,034",29,"86,701"
7/5/19,"14,518","89,558","192,865","41,571","89,570","1,984",41,"90,557"
7/6/19,"18,073","119,811","158,956","95,228","84,240","1,820",14,"70,343"
7/7/19,"19,778","121,818","351,679","90,793","99,207","1,436",17,"80,391"
7/8/19,"21,380","113,161","297,838","54,849","103,417","2,593",36,"85,685"
7/9/19,"23,089","125,592","297,098","76,620","106,322","2,304",28,"85,432"
7/10/19,"24,788","149,637","230,382","33,190","104,533","1,417",38,"83,182"
7/11/19,"23,830","105,929","151,365","35,595","101,421","1,660",27,"76,099"
7/12/19,"18,085","94,743","188,614","33,542","84,386","2,311",31,"83,520"
