timestamp,Username,Retweets,Text,Mentions,Hashtags
Tue Feb 18 15:59:59 +0000 2020,4561096213,0,"Do some more research, Biden's plan is actually more expensive than Medicare4all. I'm 38, been on Medicare for 10 yrs & don't want anything to do with private health insurance as primary coverage cuz I can go to any dr. I choose & Medicare won't abandon me when I need it most",,
Tue Feb 18 15:59:59 +0000 2020,527131496,1,"Democracy 4 Sale: “In less than 3 months, #Bloomberg, who is worth about $60bn, has spent about $320m on TV advertising alone...Since Jan, Bloomberg has spent more on Facebook ads than Joe Biden, Bernie Sanders, Pete Buttigieg & Elizabeth Warren combined.” https://www.theguardian.com/commentisfree/2020/feb/18/michael-bloomberg-election-spending-spree-tells-an-ugly-story-billionaire-president …",,#Bloomberg
Tue Feb 18 15:59:58 +0000 2020,261718546,0,Joe Biden's failure to gain traction makes you wonder what the criteria was for anointing him in the first place.,,
Tue Feb 18 15:59:52 +0000 2020,834672494,1,"@JoeBiden needs $150,000 by Midnight Tonight! Please Help! Donate to https://go.joebiden.com/page/m/29318b0c/1cc1e6f6/caabd647/3566ed60/837874024/VEsE/p/eyJlM3RoYlc5MWJuUjlmUT09IjoiNSIsImUzdHpaV052Ym1SZllXMXZkVzUwZlgwPSI6IjI1IiwiZTN0MGFHbHlaRjloYlc5MWJuUjlmUT09IjoiNTAiLCJlM3RtYjNWeWRHaGZZVzF2ZFc1MGZYMD0iOiIxMDAiLCJlM3RtYVdaMGFGOWhiVzkxYm5SOWZRPT0iOiIyNTAiLCJlM3NnWlc1amIyUmxaRjlsYldGcGJDQjlmUT09IjoicGpvYjUyJTQwZ21haWwuY29tIiwiZTNzZ1pXNWpiMlJsWkY5bWFYSnpkRzVoYldVZ2ZYMD0iOiJKZWFuIiwiZTNzZ1pXNWpiMlJsWkY5c1lYTjBibUZ0WlNCOWZRPT0iOiJPJTI3QnJpZW4iLCJlM3NnWlc1amIyUmxaRjk2YVhBZ2ZYMD0iOiI1MzcxMSIsImUzc2daVzVqYjJSbFpGOWphWFI1SUgxOSI6IkZpdGNoYnVyZyIsImUzc2daVzVqYjJSbFpGOXpkR0YwWlY5alpDQjlmUT09IjoiV0kiLCJlM3NnWlc1amIyUmxaRjl3YUc5dVpTQjlmUT09IjoiNjA4Mjc0NjM5MyIsImUzc2daVzVqYjJSbFpGOWhaR1J5WDJaMWJHeGZjR3hoYVc0Z2ZYMD0iOiIlMjAlMjAlMjAlMjAlMjAlMjAlMjAlMjAyNjU4JTIwUyUyMFNlbWlub2xlJTIwSHd5JTBBJTIwJTIwJTIwJTIwJTIwJTIwJTIwJTIwIn0%3D/?g=%0D%20%20%20%20%20%20VQ-wXMbtZKdZcutn …",@JoeBiden,
Tue Feb 18 15:59:48 +0000 2020,828326392391688192,0,@JoeBiden for President Bernie should drop out and some of. the moderates should step back to save democracy https://twitter.com/joncoopertweets/status/1229916747656048640 …,@JoeBiden,
Tue Feb 18 15:59:45 +0000 2020,3300604719,0,"Why do you feel the need to come onto a tweet about Biden,that an obvious Biden supporter posted,& go after a commenter who is showing their support for Biden & the person tweeting,with enthusiasm about being excited to vote for candidate?Either a trumper or Buster b/c both do it",,
Tue Feb 18 15:59:43 +0000 2020,1214980930756067329,0,"Sanders has no autocratic aspirations, the kompromat on a Congress like Trump. The Legislature will moderate any craziness. Pushing that malarkey alienates your base. You’re the party of smart. No? I can’t vote the Primary but will #VoteBlueNoMatterWho #DivisivenessElectsTrumppic.twitter.com/nXhoyTLNE8",,#VoteBlueNoMatterWho #DivisivenessElectsTrumppic
Tue Feb 18 15:59:42 +0000 2020,908184200,0,I’m a Bernie 2016 supporter- I voted for Hillary,,
Tue Feb 18 15:59:35 +0000 2020,1207055329785270274,2,If someone were to tell me “Crowds don’t vote” I would say people do not vote for a candidate that tells them to vote for someone else like @JoeBiden https://youtu.be/fBRlAmT0DoA,@JoeBiden,
Tue Feb 18 15:59:32 +0000 2020,1226731562097610753,0,I would love to see President Trump humiliate Sleepy Uncle Joe Biden and his whole family! Hunter get your orange jumpsuit ready! @realDonaldTrump @DonaldJTrumpJr @EricTrump @seanhannity #MAGA2020 @DNC #RNC @FOX @CNN @MSNBC #KAG2020 #KAG,@realDonaldTrump @DonaldJTrumpJr @EricTrump @seanhannity @DNC @FOX @CNN @MSNBC,#MAGA2020 #RNC #KAG2020 #KAG
Tue Feb 18 15:59:23 +0000 2020,1150913591790493696,0,Why aren't you saying something about @ewarren mot being on here. Did did she drop out without telling anybody,@ewarren,
Tue Feb 18 15:59:23 +0000 2020,109603906,0,But the electorate ain’t Paying attention to joe yet. Once they see what dem primary voters have seen he would fall like crazy.,,
Tue Feb 18 15:59:21 +0000 2020,1365107749,0,"You're scared, and you should be. Trump's coming and Justice is coming with him. #BidenCrimeFamily #QuidProJoe #WheresHunter?pic.twitter.com/8oA6g64kuM",,#BidenCrimeFamily #QuidProJoe #WheresHunter
Tue Feb 18 15:59:18 +0000 2020,1204918724316188672,0,"Bernie and his people are vicious and will say or do anything They were crazy going after @JoeBiden ,even Bernie had to apologize Bernie needs to have twitter followers stop the hate/Threats @MikeBloomberg @ksheekey @SenWarren @ewarren @amyklobuchar @JoyAnnReid @amjoyshow",@JoeBiden @MikeBloomberg @ksheekey @SenWarren @ewarren @amyklobuchar @JoyAnnReid @amjoyshow,
Tue Feb 18 15:59:17 +0000 2020,1001187954524606464,0,TEXT Joe Biden @666,@666,
Tue Feb 18 15:59:14 +0000 2020,422092485,0,Exactly. He's managed to damage Joe Biden as well,,
Tue Feb 18 15:59:13 +0000 2020,239073992,0,"Update your tweets, so the latest one shows at the top of the page! Talk at the speed, you need to have a good response; take it from Obama; a fast talker doesn't get there first. Keep your distance from people; wash your hands, often and stay healthy! Old Folk Supporter!pic.twitter.com/wn0k1geq8u",,
Tue Feb 18 15:59:10 +0000 2020,4744221203,0,Actually Pete does.,,
Tue Feb 18 15:59:06 +0000 2020,1242991880,0,"I don't care. @JoeBiden 2020 for president and I am not changing no matter what, period. I will vote for #Biden in the California primary along with my three children, daughter in-law, nephews, nieces, and cousins.",@JoeBiden,#Biden
Tue Feb 18 15:59:06 +0000 2020,289702880,0,HELLO naive Democrats! Anybody paying attention to the big picture here? Stop rewarding Trump's crimes by backing off on @JoeBiden. He's still the majority choice with the voters we need to attract. https://twitter.com/joncoopertweets/status/1229916747656048640 …,@JoeBiden,
Tue Feb 18 15:59:01 +0000 2020,730569782228074497,0,i knew the answer before i asked.,,
Tue Feb 18 15:59:00 +0000 2020,470643671,0,Let's go Joe!!!!!,,
Tue Feb 18 15:59:00 +0000 2020,1702223029,0,Could you imagine if it was the Trump's doing this? People get mad at @POTUS for his tweets and all but one thing he isn't is sneaky! This is the second article I've read about @JoeBiden and his family today and it's just sickening. #quidproquojoehttps://twitter.com/JEAvalon/status/1229679106121445377 …,@POTUS @JoeBiden,#quidproquojoehttps
Tue Feb 18 15:58:56 +0000 2020,16170253,734,"Bloomberg, last March, predicted he couldn't win the Democratic nomination without changing his political views: ""Joe Biden went out and apologized for being male, over 50, white. He apologized for the one piece of legislation which is actually a pretty good anti-crime bill."" pic.twitter.com/MDAew1ztwa",,
Tue Feb 18 15:58:55 +0000 2020,715474256889384960,0,@PeteButtigieg @amyklobuchar @adamgabbatt @ewarren @TomSteyer @JoeBiden @CNN @maddowhttps://twitter.com/ChrisRBarron/status/1229565794671112192 …,@PeteButtigieg @amyklobuchar @adamgabbatt @ewarren @TomSteyer @JoeBiden @CNN @maddowhttps,
Tue Feb 18 15:58:55 +0000 2020,1204728398154739712,0,I will vote for Bloomberg,,
Tue Feb 18 15:58:53 +0000 2020,884764947405717504,4,WATCH: Bloomberg’s disturbing comments to 11-year-old girl have people calling him “Joe Biden Jr.” https://truepundit.com/watch-bloombergs-disturbing-comments-to-11-year-old-girl-have-people-calling-him-joe-biden-jr/ …,,
Tue Feb 18 15:58:51 +0000 2020,542828771,0,"I just wanted to say thank you for correctly stating the numbers. Many people state she got her ass kicked, but it was far from the truth. 3 states and a paltry 77k votes have put us in this hell.",,
