timestamp,Username,Retweets,Text,Mentions,Hashtags
Tue Feb 18 15:59:59 +0000 2020,527131496,1,"Democracy 4 Sale: “In less than 3 months, #Bloomberg, who is worth about $60bn, has spent about $320m on TV advertising alone...Since Jan, Bloomberg has spent more on Facebook ads than Joe Biden, Bernie Sanders, Pete Buttigieg & Elizabeth Warren combined.” https://www.theguardian.com/commentisfree/2020/feb/18/michael-bloomberg-election-spending-spree-tells-an-ugly-story-billionaire-president …",,#Bloomberg
Tue Feb 18 15:59:42 +0000 2020,241639648,0,"This is weird. Elizabeth Warren Under Fire as Campaign Surrogate's Racist, Homophobic Tweets Come to Light https://lawandcrime.com/high-profile/elizabeth-warren-under-fire-as-campaign-surrogates-racist-homophobic-tweets-come-to-light/ … via @lawcrimenews",@lawcrimenews,
Tue Feb 18 15:59:21 +0000 2020,2328535050,1,@NBCNews ......ELIZABETH WARREN is still here! Do better!,@NBCNews,
Tue Feb 18 15:59:18 +0000 2020,1204918724316188672,0,"Bernie and his people are vicious and will say or do anything They were crazy going after @JoeBiden ,even Bernie had to apologize Bernie needs to have twitter followers stop the hate/Threats @MikeBloomberg @ksheekey @SenWarren @ewarren @amyklobuchar @JoyAnnReid @amjoyshow",@JoeBiden @MikeBloomberg @ksheekey @SenWarren @ewarren @amyklobuchar @JoyAnnReid @amjoyshow,
Tue Feb 18 15:59:13 +0000 2020,3353679670,0,How many times have I asked this question. @chucktodd is biased. @MSNBC @NBCNews #ElizabethWarren https://twitter.com/jljacobson/status/1229893946190548993 …,@chucktodd @MSNBC @NBCNews,#ElizabethWarren
Tue Feb 18 15:59:11 +0000 2020,49316204,0,He is such a loser that the only banks that will loan to him are Russian banks.,,
Tue Feb 18 15:59:09 +0000 2020,625291106,0,Elizabeth Warren would be the best president. She cares about you. #warrenwins #ew,,#warrenwins #ew
Tue Feb 18 15:59:00 +0000 2020,874020285388685313,0,Elizabeth Warren was a Republican during the AIDS crisis. Elizabeth Warren was a Republican into her 40s.,,
Tue Feb 18 15:59:00 +0000 2020,3375350153,0,We are not going to let them erase Elizabeth Warren. Elizabeth Warren will be our next president. https://twitter.com/sarahkendzior/status/1229917647887794176 …,,
Tue Feb 18 15:58:58 +0000 2020,735615594,0,Quick update but Jack Black has officially deleted his Elizabeth Warren post. Even Johan Hills liberal ass couldn’t save it. Had over 3k last i checked,,
Tue Feb 18 15:58:52 +0000 2020,541316442,0,The Woman Behind Elizabeth Warren’s Foreign Policy via @thenationhttps://www.thenation.com/article/politics/sasha-baker-elizabeth-warren-foreign-policy/ …,@thenationhttps,
Tue Feb 18 15:58:51 +0000 2020,2286075229,0,You have a gender representation problem. HER NAME IS ELIZABETH WARREN. DO BETTER.,,
Tue Feb 18 15:58:50 +0000 2020,798597504535298048,0,"That said, I’ve seen good reasons to cast a vote for both Bernie Sanders and Elizabeth Warren. I’ve also seen bad reasons: Warren has dabbled in race science and Bernie seems to be racially insensitive and somewhat class-reductionist but",,
Tue Feb 18 15:58:44 +0000 2020,174048465,0,Calling @SenWarren “ex-Republican” is beneath you. HRC was an ex-Republican too but neither were ever politically active as anything but Democrats. Not like Sanders.,@SenWarren,
Tue Feb 18 15:58:43 +0000 2020,3167546573,0,Yes! @SenWarren https://twitter.com/sarahkendzior/status/1229917647887794176 …,@SenWarren,
Tue Feb 18 15:58:37 +0000 2020,1716914928,0,I do not see Elizabeth Warren anywhere... pic.twitter.com/YGnozJoNDG,,
Tue Feb 18 15:58:34 +0000 2020,1162783065904689152,83,"You think the media is censoring Elizabeth Warren. Where is Warren? Boy, do I have some stories about a man named Andrew Yang then.",,
Tue Feb 18 15:58:32 +0000 2020,1016517831549247489,0,"'How's it gonna look when Elizabeth Warren is towering over you?' Funny, down right hilarious.",,
Tue Feb 18 15:58:25 +0000 2020,2946632040,4,Fix this! Where is WARREN??!!!! Elizabeth Warren Presidential candidate 2020 United States Senator from Massachusetts #Warren2020 #PresidentElizabethWarren,,#Warren2020 #PresidentElizabethWarren
Tue Feb 18 15:58:24 +0000 2020,41500702,0,When Elizabeth Warren doesn't exist... https://twitter.com/mmurraypolitics/status/1229888325269573632 …,,
Tue Feb 18 15:58:22 +0000 2020,4435994599,2,OH HELL NO! Stop with the passive aggressive ooops I just accidentally forgot to include Warren. Elizabeth Warren is a legitimate and viable candidate for office!,,
Tue Feb 18 15:58:18 +0000 2020,190727531,0,"Funny, when you look at nearly ANY person shouting ""Elizabeth Warren can't win"" b.s., they are, almost every one, supporters of another B.S., whose supporters typically attack others. This is why he's unliked. The BSBrigade helped seat Trump, they're up to the same tricks again.",,
Tue Feb 18 15:58:13 +0000 2020,334421439,0,"Mark, I’m not sure if you are aware, but there is a woman named Elizabeth Warren who is also running for President of the United States. She’s a sitting US Senator from the state of Massachusetts. You may want to check her out.",,
Tue Feb 18 15:58:03 +0000 2020,1190758707900112896,1,there is #Pocahontas #WhereIsWarren #ElizabethWarren https://twitter.com/cmclymer/status/1229906425259970562 …pic.twitter.com/hyk0mw3tbd,,#Pocahontas #WhereIsWarren #ElizabethWarren
Tue Feb 18 15:57:59 +0000 2020,1212327014985654272,0,Non binary is to white middle class young males what 1/2024 Native American is to Elizabeth Warren,,
Tue Feb 18 15:57:58 +0000 2020,2457150835,0,I hear you. I am looking forward to see Elizabeth Warren excoriate his record in tomorrow’s debate.,,
