timestamp,Username,Retweets,Text,Mentions,Hashtags
Wed Feb 19 15:59:57 +0000 2020,740528666396893185,0,I like salty Biden when you can tell it’s genuine annoyance.,,
Wed Feb 19 15:59:57 +0000 2020,1224748797844185088,0,"#ACD is new in your feed! @MikeBloomberg qualifies for his first debate as he surges in the polls while @JoeBiden banks on a big win this weekend in Nevada. Plus, @ZachEClark & @PreemoTees unveil new power rankings and drop a new #ShutUpAlready! LISTEN:https://anchor.fm/a-common-divide/episodes/A-Common-Divide----February-19--2020-eaumud …",@MikeBloomberg @JoeBiden @ZachEClark @PreemoTees,#ACD #ShutUpAlready
Wed Feb 19 15:59:54 +0000 2020,829702207255805953,0,I think you meant to tag @JoeBiden not @JoeBudden lol,@JoeBiden @JoeBudden,
Wed Feb 19 15:59:53 +0000 2020,867794686441861120,0,This would be more powerful if it were true.,,
Wed Feb 19 15:59:52 +0000 2020,1207965117100515328,0,Go team Joe Biden!,,
Wed Feb 19 15:59:42 +0000 2020,4037977703,0,He won’t run against Biden because of the told makeup’s story of how shameful his son was doing business in a foreign government gas company! With 60% of his backers leaving him. GOPIGS are traitors to America people and they will do anything to protect 45 so they can destroy USA,,
Wed Feb 19 15:59:41 +0000 2020,1218682150192439296,0,"damn you got me, no one ever gets their account banned or says the word elect in an election bernie is the only one with a block who won't vote blue no matter who. if you try to get someone else to win the primary, it proves you want a weaker candidate vs trump.",,
Wed Feb 19 15:59:38 +0000 2020,1246350990,0,"I saw ""Coffin Joe"" trending and it made me scared for Joe Biden... Turns out it had nothing to do with him",,
Wed Feb 19 15:59:34 +0000 2020,48786968,0,"You're open to a Republican VP, though.",,
Wed Feb 19 15:59:34 +0000 2020,88683599,0,pic.twitter.com/SjEO3rglgz,,
Wed Feb 19 15:59:32 +0000 2020,821058492018675712,0,@JoeBiden https://twitter.com/ljreina/status/1108146864380170240 …,@JoeBiden,
Wed Feb 19 15:59:30 +0000 2020,1178394991422590976,2,Now that’s a powerful endorsement.pic.twitter.com/l4G41xAooX,,
Wed Feb 19 15:59:28 +0000 2020,569273893,0,"@SenSanders @JoeBiden @AOC,stopping attacking others of @TheDemocrats!!!! This only plays into the hands of POTUS:I.E.'divide the competition,&have them destroy their flanks,&finally""conquer""by destroying what is left over"". Stop attacking each other!!!! Policy difference onlyhttps://twitter.com/CNN/status/1229999560006696960 …",@SenSanders @JoeBiden @AOC @TheDemocrats,
Wed Feb 19 15:59:27 +0000 2020,891666308064063488,0,Trump has done a fantastic job! Just think how much more he could accomplish with a house willing to work with him instead of doing everything to fight him and the good of the country. TRUMP FIGHTS FOR THE PEEPS DAILY & THE DEMS FIGHT HIM! That’s a fact! #TRUMP2020 #VoteRep2020,,#TRUMP2020 #VoteRep2020
Wed Feb 19 15:59:24 +0000 2020,1197496181175324673,0,pic.twitter.com/WY3I4W8afD,,
Wed Feb 19 15:59:24 +0000 2020,3808155194,0,Don’t play the age card.....it will boomerang,,
Wed Feb 19 15:59:20 +0000 2020,825137114014633988,0,And reverse his E.O.’s.,,
Wed Feb 19 15:59:20 +0000 2020,57181256,0,Several Joe Biden fundraisers jump ship from his struggling campaign to back Mike Bloomberg https://cnb.cx/39L1YfZ It's a rat!!! Jump! Lol,,
Wed Feb 19 15:59:16 +0000 2020,1167318679,0,"The NRA did not fund Bernie, members of the NRA which are in the thousands did donate. I'm a NRA member and I donate to him. So what's your point?",,
Wed Feb 19 15:59:15 +0000 2020,941404320330743809,0,"@MikeBloomberg @ewarren @JoeBiden @amyklobuchar @PeteButtigieg @BernieSanders Y’all, minimize the in-fighting tonight cause Voters are sick of divisiveness. Show us “YOUR” Leadership Qualities. One last thing: there’s nothing undemocratic about a citizen using HIS OWNTO RUN!",@MikeBloomberg @ewarren @JoeBiden @amyklobuchar @PeteButtigieg @BernieSanders,
Wed Feb 19 15:59:14 +0000 2020,62448165,0,Joe Biden for Senator.,,
Wed Feb 19 15:59:12 +0000 2020,238975517,0,"Ah, don't worry. They won't disappoint. They'll spend their time at the debate tonight taking shots at each other rather than using the time going after Comrade Trumpski's show. @JoeBiden @Mike2020 @PeteButtigieg @amyklobuchar @BernieSanders @ewarren",@JoeBiden @Mike2020 @PeteButtigieg @amyklobuchar @BernieSanders @ewarren,
Wed Feb 19 15:59:10 +0000 2020,1228503962174787585,0,You will when I beat you ;),,
Wed Feb 19 15:59:08 +0000 2020,1202336215795679232,0,pic.twitter.com/qpiFYPH1V6,,
Wed Feb 19 15:59:05 +0000 2020,1226333849170436098,0,Epstein didn’t kill himself,,
Wed Feb 19 15:59:02 +0000 2020,3731368215,0,That is ugly honor you word,,
Wed Feb 19 15:59:01 +0000 2020,182542929,0,#BernieSanders #SouthCarolinaPrimary #BernieSanders2020 #JoeBiden #Biden2020 #Sanders2020 #ElizabethWarren #Warren2020 #PeteForAmerica #PeteButtigieg #PeteForPresident #PeteButtigieg2020 #MichaelBloomberg #JoeBiden2020 #ElizabethWarren2020 #Nevadahttps://youtu.be/dULraIiRd5k,,#BernieSanders #SouthCarolinaPrimary #BernieSanders2020 #JoeBiden #Biden2020 #Sanders2020 #ElizabethWarren #Warren2020 #PeteForAmerica #PeteButtigieg #PeteForPresident #PeteButtigieg2020 #MichaelBloomberg #JoeBiden2020 #ElizabethWarren2020 #Nevadahttps
Wed Feb 19 15:59:01 +0000 2020,1209612862710337537,0,"Good luck to our unifying moderates @amyklobuchar, @JoeBiden and @PeteButtigieg. Whom represent the millions of us who are tried of wishful platforms and empty promises. Tonight, is the night to come out on top. Let’s win. #DemDebate #NevadaCaucus2020",@amyklobuchar @JoeBiden @PeteButtigieg,#DemDebate #NevadaCaucus2020
Wed Feb 19 15:59:00 +0000 2020,378918566,0,Nah. Talking about the cheeto.,,
Wed Feb 19 15:59:00 +0000 2020,928836011672481793,0,"You’re “shocked?” Really? Why isn’t the MSM vetting @BernieSanders? @JoeBiden has been vetted up, down, sideways and backwards. So has @MikeBloomberg. Why not Bernie?",@BernieSanders @JoeBiden @MikeBloomberg,
Wed Feb 19 15:58:59 +0000 2020,3636740843,0,I'm voting for @Biden2020,@Biden2020,
Wed Feb 19 15:58:58 +0000 2020,631310817,43,You @JoeBiden took on the @nra ? You can’t even manage an IRAhttps://twitter.com/JoeBiden/status/1230251966003130369 …,@JoeBiden @nra,
Wed Feb 19 15:58:55 +0000 2020,45859412,0,"You good with a socialist who will implement government control over every aspect of your life as he raises your taxes to an unsustainable amount ?? Not to mention gas, food, interest rates etc ..... You’re willing to throw America over a cliff ?",,
Wed Feb 19 15:58:54 +0000 2020,248481789,0,It’s usually made by the same crowd that says Joe Biden is basically a Republican.,,
Wed Feb 19 15:58:54 +0000 2020,868191282065178625,0,I noticed that Bloomberg is using advertising with Barack Obama in it. So is Barack Obama backing Bloomberg and if so why did he turn his back on Joe Biden. I would think since he was his vice president he would be standing behind Joe Biden. Is this a Bloomberg trick?,,
Wed Feb 19 15:58:53 +0000 2020,1157609544,0,Uh...pic.twitter.com/1BuyeQisIw,,
