,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
0,Thu Feb 20 15:59:57 +0000 2020,1039362199817539584,0,BARR STRIKES: FBI Raids Company Linked to Joe Biden’s Brother https://thedcpatriot.com/barr-strikes-fbi-raids-company-linked-to-joe-bidens-brother/ … via @realmattcouch,@realmattcouch,,"['BARR', 'STRIKES', 'FBI', 'Raids', 'Company', 'Linked', 'Joe', 'Biden’s', 'Brother', '…', 'via', '@realmattcouch']"
1,Thu Feb 20 15:59:54 +0000 2020,1004425281480904704,0,"2 Senate seats are up in GA. @teresatomlinson mayor of Columbus is SMART...saw her on Rachel Maddow a long time ago and was really impressed. Along with Jon Ossoff, already on your list.",@teresatomlinson,,"['2', 'Senate', 'seats', 'GA', '@teresatomlinson', 'mayor', 'Columbus', 'Rachel', 'Maddow', 'long', 'time', 'ago', 'really', 'impressed', 'Along', 'Jon', 'Ossoff', 'already', 'list']"
2,Thu Feb 20 15:59:50 +0000 2020,969784585067343872,0,Joe Biden would disagree with you on that.,,,"['Joe', 'Biden', 'would', 'disagree']"
3,Thu Feb 20 15:59:45 +0000 2020,1146873140,0,Democrats should understand this election is not about beating Trump; it’s about not beating themselves. #JoeBiden2020,,#JoeBiden2020,"['Democrats', 'understand', 'election', 'beating', 'Trump', 'it’s', 'beating', '#JoeBiden2020']"
4,Thu Feb 20 15:59:45 +0000 2020,957644130611531776,0,Yes!!!,,,['Yes']
5,Thu Feb 20 15:59:42 +0000 2020,429464142,0,Marie Newman,,,"['Marie', 'Newman']"
6,Thu Feb 20 15:59:40 +0000 2020,1149461623150710784,0,@AmyMcGrathKY,@AmyMcGrathKY,,['@AmyMcGrathKY']
7,Thu Feb 20 15:59:35 +0000 2020,1223399717536550912,1,"And don't forget, A COMMUNIST TOO!!! @SenSanders @JoeBiden pic.twitter.com/T0vBwzOsoc",@SenSanders @JoeBiden,,"['And', 'dont', 'forget', 'A', 'COMMUNIST', 'TOO', '@SenSanders', '@JoeBiden']"
8,Thu Feb 20 15:59:33 +0000 2020,17508093,0,Wish you brought it up earlier in the debate and talked more about guns,,,"['Wish', 'brought', 'earlier', 'debate', 'talked', 'guns']"
9,Thu Feb 20 15:59:32 +0000 2020,50691417,0,Joementum is happening.,,,"['Joementum', 'happening']"
10,Thu Feb 20 15:59:30 +0000 2020,928380452662104064,0,No no no. Us in the east don’t want him. Let California have him!,,,"['No', 'Us', 'east', 'don’t', 'want', 'Let', 'California']"
11,Thu Feb 20 15:59:27 +0000 2020,1230388609104175104,0,Just a MASSIVE group of uninformed American citizens! #Debatenight #TrumpRallyPhoenix #PoliticsLive #PeteButtigieg #StopAndFrisk #MayorPete #JoeBiden #Democrats2020 #Bloomberg #DemocraticDebate #Klobuchar #TrumpinAZ #FakeNews #DemDebates,,#Debatenight #TrumpRallyPhoenix #PoliticsLive #PeteButtigieg #StopAndFrisk #MayorPete #JoeBiden #Democrats2020 #Bloomberg #DemocraticDebate #Klobuchar #TrumpinAZ #FakeNews #DemDebates,"['Just', 'MASSIVE', 'group', 'uninformed', 'American', 'citizens', '#Debatenight', '#TrumpRallyPhoenix', '#PoliticsLive', '#PeteButtigieg', '#StopAndFrisk', '#MayorPete', '#JoeBiden', '#Democrats2020', '#Bloomberg', '#DemocraticDebate', '#Klobuchar', '#TrumpinAZ', '#FakeNews', '#DemDebates']"
