,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
0,Tue Feb 18 15:59:59 +0000 2020,228015335,1,"You missed the walk back: https://www.cnn.com/2017/11/05/politics/donna-brazile-primary-rigged/index.html … Short summery: Brazile lied, and Warren jumped on the 'rigged' bandwagon without even thinking about it or trying to understand anything. They were both wrong, provably, and both walked back their comments. Wake up to reality.",,,"['You', 'missed', 'walk', 'back', '20171105politicsdonnabrazileprimaryrigged', '…', 'Short', 'summery', 'Brazile', 'lied', 'Warren', 'jumped', 'rigged', 'bandwagon', 'without', 'even', 'thinking', 'trying', 'understand', 'anything', 'They', 'wrong', 'provably', 'walked', 'back', 'comments', 'Wake', 'reality']"
1,Tue Feb 18 15:59:59 +0000 2020,3396194833,0,"Ryan do your history, please. Progressive taxes are what caused the largest middle class in our history. Any time this country has allowed rich people and corporations to rule it has only hurt the working citizens.",,,"['Ryan', 'history', 'please', 'Progressive', 'taxes', 'caused', 'largest', 'middle', 'class', 'history', 'Any', 'time', 'country', 'allowed', 'rich', 'people', 'corporations', 'rule', 'hurt', 'working', 'citizens']"
2,Tue Feb 18 15:59:59 +0000 2020,1106926846346711041,0,So @realDonaldTrump stole @BernieSanders ideas? Sounds right,@realDonaldTrump @BernieSanders,,"['So', '@realDonaldTrump', 'stole', '@BernieSanders', 'ideas', 'Sounds', 'right']"
3,Tue Feb 18 15:59:59 +0000 2020,527131496,1,"Democracy 4 Sale: “In less than 3 months, #Bloomberg, who is worth about $60bn, has spent about $320m on TV advertising alone...Since Jan, Bloomberg has spent more on Facebook ads than Joe Biden, Bernie Sanders, Pete Buttigieg & Elizabeth Warren combined.” https://www.theguardian.com/commentisfree/2020/feb/18/michael-bloomberg-election-spending-spree-tells-an-ugly-story-billionaire-president …",,#Bloomberg,"['Democracy', '4', 'Sale', '“In', 'less', '3', 'months', '#Bloomberg', 'worth', '60bn', 'spent', '320m', 'TV', 'advertising', 'aloneSince', 'Jan', 'Bloomberg', 'spent', 'Facebook', 'ads', 'Joe', 'Biden', 'Bernie', 'Sanders', 'Pete', 'Buttigieg', 'Elizabeth', 'Warren', 'combined”', '2020feb18michaelbloombergelectionspendingspreetellsanuglystorybillionairepresident', '…']"
4,Tue Feb 18 15:59:58 +0000 2020,77492135,0,republicans want to run real bad against @BernieSanders...... https://twitter.com/ScottPresler/status/1229775341205491714 …,@BernieSanders,,"['republicans', 'want', 'run', 'real', 'bad', '@BernieSanders', '1229775341205491714', '…']"
5,Tue Feb 18 15:59:58 +0000 2020,3812878094,0,@BernieSanders come to Roadside Hobbies and 1v1 me in Smash Bros Ultimate.,@BernieSanders,,"['@BernieSanders', 'come', 'Roadside', 'Hobbies', '1v1', 'Smash', 'Bros', 'Ultimate']"
6,Tue Feb 18 15:59:56 +0000 2020,2932108443,0,pic.twitter.com/j7DF8AbpMR,,,['7DF8AbpMR']
7,Tue Feb 18 15:59:56 +0000 2020,941714418391535616,0,that might be true- if we don't vote blue no matter who,,,"['might', 'true', 'dont', 'vote', 'blue', 'matter']"
8,Tue Feb 18 15:59:56 +0000 2020,518284204,0,Bernie Sanders looked older in 1993 than he does in 2020.,,,"['Bernie', 'Sanders', 'looked', 'older', '1993', '2020']"
9,Tue Feb 18 15:59:54 +0000 2020,119495864,0,@SteveSchmidtSES Declaring Bernie Sanders want to take health care away from Americans is like saying; The Earth is flat.,@SteveSchmidtSES,,"['@SteveSchmidtSES', 'Declaring', 'Bernie', 'Sanders', 'want', 'take', 'health', 'care', 'away', 'Americans', 'like', 'saying', 'The', 'Earth', 'flat']"
