timestamp,Username,Retweets,Text,Mentions,Hashtags
Thu Feb 20 15:59:57 +0000 2020,1039362199817539584,0,BARR STRIKES: FBI Raids Company Linked to Joe Biden’s Brother https://thedcpatriot.com/barr-strikes-fbi-raids-company-linked-to-joe-bidens-brother/ … via @realmattcouch,@realmattcouch,
Thu Feb 20 15:59:54 +0000 2020,1004425281480904704,0,"2 Senate seats are up in GA. @teresatomlinson mayor of Columbus is SMART...saw her on Rachel Maddow a long time ago and was really impressed. Along with Jon Ossoff, already on your list.",@teresatomlinson,
Thu Feb 20 15:59:50 +0000 2020,969784585067343872,0,Joe Biden would disagree with you on that.,,
Thu Feb 20 15:59:45 +0000 2020,1146873140,0,Democrats should understand this election is not about beating Trump; it’s about not beating themselves. #JoeBiden2020,,#JoeBiden2020
Thu Feb 20 15:59:45 +0000 2020,957644130611531776,0,Yes!!!,,
Thu Feb 20 15:59:42 +0000 2020,429464142,0,Marie Newman,,
Thu Feb 20 15:59:40 +0000 2020,1149461623150710784,0,@AmyMcGrathKY,@AmyMcGrathKY,
Thu Feb 20 15:59:35 +0000 2020,1223399717536550912,1,"And don't forget, A COMMUNIST TOO!!! @SenSanders @JoeBiden pic.twitter.com/T0vBwzOsoc",@SenSanders @JoeBiden,
Thu Feb 20 15:59:33 +0000 2020,17508093,0,Wish you brought it up earlier in the debate and talked more about guns,,
Thu Feb 20 15:59:32 +0000 2020,50691417,0,Joementum is happening.,,
Thu Feb 20 15:59:30 +0000 2020,928380452662104064,0,No no no. Us in the east don’t want him. Let California have him!,,
Thu Feb 20 15:59:27 +0000 2020,1230388609104175104,0,Just a MASSIVE group of uninformed American citizens! #Debatenight #TrumpRallyPhoenix #PoliticsLive #PeteButtigieg #StopAndFrisk #MayorPete #JoeBiden #Democrats2020 #Bloomberg #DemocraticDebate #Klobuchar #TrumpinAZ #FakeNews #DemDebates,,#Debatenight #TrumpRallyPhoenix #PoliticsLive #PeteButtigieg #StopAndFrisk #MayorPete #JoeBiden #Democrats2020 #Bloomberg #DemocraticDebate #Klobuchar #TrumpinAZ #FakeNews #DemDebates
Thu Feb 20 15:59:24 +0000 2020,1703621154,0,"You might mean “criminal violence”, @JoeBiden. The gun is not the perpetrator, the perpetrator is the perpetrator. Neither the gun nor the knife nor any other weapon is responsible for any crime of violence. The perpetrator is responsible. This distinction may be helpful for you.",@JoeBiden,
Thu Feb 20 15:59:24 +0000 2020,47655301,0,Joe Biden https://twitter.com/thistallawkgirl/status/1230481163401269248 …,,
Thu Feb 20 15:59:24 +0000 2020,2897576917,0,"@mitchellreports Dear, darling AM WE know Ur BILLIONAIRE BOSSES are giving U daily talking point to read to undermine & sabotage Bernie. U are suppose to sell JOE BIDEN Mayor Pete, Amy to the Gullible Fools & Suckers,& finally as a last resort thenREPUBLICAN BILLIONAIRE Bloomberg pic.twitter.com/N0tDsai42C",@mitchellreports,
Thu Feb 20 15:59:20 +0000 2020,29560265,0,"@TheBeatWithAri , be careful when spreading disinformation. Joe Biden clearly said he his actions against Bloomberg were in response to Bloomberg's surveillance on mosques and Muslim citizens. Not #StopAndFrisk. You completely mischacterized it just now.",@TheBeatWithAri,#StopAndFrisk
Thu Feb 20 15:59:18 +0000 2020,1226326479560007681,0,It makes you a BIGGER ass hat if you don’t know that the GOP controlled the US political narrative of the 1990’s and that Clinton NDAs a minority president who only was elected due to Ross Perot. In 1994 both Houses were Republican. That you think a GOP bill would not be worse,,
Thu Feb 20 15:59:13 +0000 2020,1225935202452721665,0,Zzzzzzzzzz,,
Thu Feb 20 15:59:13 +0000 2020,532205048,0,Report: FBI Raids Company Linked to Joe Biden’s Brother http://bit.ly/3bRTvJE via @BreitbartNews,@BreitbartNews,
Thu Feb 20 15:59:12 +0000 2020,842206655781695488,0,"So you are making 'James Dean moves'...REBELS MISDIRECTED, DISTRACTING FROM THE REAL CAUSE. GTFOHWTBS",,
Thu Feb 20 15:59:11 +0000 2020,968301504,0,Why am I not seeing this story anyplace else?,,
Thu Feb 20 15:59:08 +0000 2020,1018806787779317761,0,". @JoeBiden can: Beat Trump, Win the Senate, Keep the House, Unite the Country, Lead on Day One, Restore Democracy, Rebuild Institutions, Work with Allies. Please @nvdems @scdp Vote @JoeBiden #VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden WINhttps://twitter.com/BoKnowsNews/status/1230641803122135041 …",@JoeBiden @nvdems @scdp @JoeBiden,#VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden
Thu Feb 20 15:59:07 +0000 2020,789661873167794176,0,Remember when the guy that won’t even endorse you ( but does Bloomburg) said that? Wasn’t that great? NOT!,,
Thu Feb 20 15:59:05 +0000 2020,972900044876722176,1,"FACT CHECKING #NRABernie’s POLICIES -Voted against Brady bill 5x’s - Voted against AR15 ban - Voted to protect gun manufacturers @JoeBiden@amyklobuchar, @PeteButtigieg, and even mini @MikeBloomberg need to WAKE THE F UP & BLAST #Feelthefraud BACK TO VT. #MSNBC #CNN @skidmore11",@JoeBiden @amyklobuchar @PeteButtigieg @MikeBloomberg @skidmore11,#NRABernie #Feelthefraud #MSNBC #CNN
Thu Feb 20 15:59:02 +0000 2020,928183320,0,#BidenAbrams2020,,#BidenAbrams2020
Thu Feb 20 15:59:01 +0000 2020,262423361,0,The top two Democratic candidates are #BernieSanders and #ElizabethWarren. The top two Republican candidates are Michael Bloomberg and Joe Biden. #DemocraticDebate #Democrats,,#BernieSanders #ElizabethWarren #DemocraticDebate #Democrats
Thu Feb 20 15:58:59 +0000 2020,1046896700688723968,0,"Like baseball cards when I was a kid. Got 'em, got 'em…..",,
Thu Feb 20 15:58:58 +0000 2020,218975278,1,This is significant,,
Thu Feb 20 15:58:56 +0000 2020,1221637823301922818,0,"Me coming at you? You've been harassing me online, calling me a bot and viciously attacking me. I hope @ewarren @JoeBiden @PeteButtigieg @MikeBloomberg @amyklobuchar disavow these types of attacks from your supporters.",@ewarren @JoeBiden @PeteButtigieg @MikeBloomberg @amyklobuchar,
Thu Feb 20 15:58:55 +0000 2020,901249827459170304,0,Sad part is that in this election no one cares about the issues facing America except for one thing...getting @realDonaldTrump out of office! @SenSanders @PeteButtigieg @SenWarren @JoeBiden @amyklobuchar @MikeBloomberg,@realDonaldTrump @SenSanders @PeteButtigieg @SenWarren @JoeBiden @amyklobuchar @MikeBloomberg,
Thu Feb 20 15:58:47 +0000 2020,1205297362874310656,0,Wouldn’t be great if trump lost this election in a landslide to a woman! Or @JoeBiden rightfully elevated to his rightful place of President! Biden is our generation’s Jimmy Carter #VoteBlueNoMatterWho,@JoeBiden,#VoteBlueNoMatterWho
Thu Feb 20 15:58:47 +0000 2020,880562764040863744,0,"@ewarren @amyklobuchar @PeteButtigieg @JoeBiden @BernieSanders @MikeBloomberg Ok u guys,u had a chance last night to talk about the Republican Senate acquitting trump, McConnell and his obstruction of every bill Dem House have passed, children in cages, chose to fight like",@ewarren @amyklobuchar @PeteButtigieg @JoeBiden @BernieSanders @MikeBloomberg,
Thu Feb 20 15:58:43 +0000 2020,899825798621917184,0,"@DNC @MikeBloomberg @ewarren @BernieSanders @amyklobuchar @PeteButtigieg @JoeBiden Today I had the chance to look at clips from last nights debate. Also head from different talking heads on both sides. Based on the clips, the democrats are NOT presidential quality. AWFUL!",@DNC @MikeBloomberg @ewarren @BernieSanders @amyklobuchar @PeteButtigieg @JoeBiden,
Thu Feb 20 15:58:42 +0000 2020,15790984,0,"Biden/ Harris 2020, Joe you got my vote on Super Tuesday here in NC",,
Thu Feb 20 15:58:42 +0000 2020,1355479878,0,I love this,,
Thu Feb 20 15:58:40 +0000 2020,2454097038,0,Schweizer: #HunterBiden’s Commercial Activities a ‘Major Factor’ in @JoeBiden’s Decline https://www.breitbart.com/clips/2020/02/20/schweizer-hunter-bidens-commercial-activities-a-major-factor-in-joe-bidens-decline/ …,@JoeBiden,#HunterBiden
Thu Feb 20 15:58:37 +0000 2020,1018806787779317761,0,". @JoeBiden can: Beat Trump, Win the Senate, Keep the House, Unite the Country, Lead on Day One, Restore Democracy, Rebuild Institutions, Work with Allies. Please @nvdems @scdp Vote @JoeBiden #VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden WINhttps://twitter.com/TDucklo/status/1230638341873254400 …",@JoeBiden @nvdems @scdp @JoeBiden,#VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden
Thu Feb 20 15:58:37 +0000 2020,1192965723779321856,0,@BernieSanders can’t unite the party the way that @ewarren can. And Bernie is too old for 1 term let alone 2! It’s selfish for him to run at his age and with his health status. The best interest of the country is a two-term democratic president. Same goes for @JoeBiden,@BernieSanders @ewarren @JoeBiden,
