timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-03 22:05:51,b'Watching Super Tuesday results like: #SuperTuesday #BidenForPresident #Bernie2020 #ElizabethWarren2020 #Bloomberg https://t.co/ZUriGOMrmq',b'batshtcra_Zee',"['SuperTuesday', 'BidenForPresident', 'Bernie2020', 'ElizabethWarren2020', 'Bloomberg']",112
2020-03-03 22:04:58,b'#Bloomberg @MikeBloomberg is Done',b'DoxseyHope',['Bloomberg'],2
2020-03-03 22:04:48,"b""You read about #deforestation in the news, view pictures online and on tv, but it doesn't really hit home until you see just how many (unwanted) flyers @MikeBloomberg has sent you in the mail on a given day of the week. I'm shocked theres any trees left #Bloomberg #SuperTuesday""",b'Jetstriar',"['deforestation', 'Bloomberg', 'SuperTuesday']",579
2020-03-03 22:04:32,b'Michael #Bloomberg Called Out For Hypocrisy On #GunControl At Town Hall Event (VIDEO) https://t.co/mEwgUfGeKG via @gatewaypundit',b'Megaphone_Jeff',"['Bloomberg', 'GunControl']",4223
2020-03-03 22:04:24,"b'@Koondey1 @BetteMidler @MikeBloomberg Thank you, Pittsburgh but #Bloomberg rebuilt NYC starting 12 weeks after 9/11 &amp; was voted in for 3 terms in BLUE NYC. #bloombergabrams2020 #Bloomberg2020'",b'jerseygirlnb',"['Bloomberg', 'bloombergabrams2020', 'Bloomberg2020']",2210
2020-03-03 22:03:54,"b""1/2 I'm with you, Marc. Still, #Bernie annoys me. yet he can win but only if #AOC is #VP. Screw #Biden forever (#Obama, too, for #ShirleySherrod). And I like #Bloomberg for #Stop&amp; #Frisk which was needed in Chicago 2015. https://t.co/byKQofZp0u""",b'UCMJOATH',"['Bernie', 'AOC', 'VP', 'Biden', 'Obama', 'ShirleySherrod', 'Bloomberg', 'Stop', 'Frisk']",97
2020-03-03 22:03:01,b'ONGOING #INVESTIGATION #ALERT: The #Schall #Law #Firm Announces it is Investigating Claims Against #Fluor #Corporationhttps://yhoo.it/2Pb9wkl #ad #wsj #nytimes #reuters #bloomberg #forbes #nasdaq #IHub_StockPosts #business #cnn #bet #foxnews #latimes IBDinvestors  #cnnmoneyinvest https://t.co/9dBqxgsYoj',b'medianycity',"['INVESTIGATION', 'ALERT', 'Schall', 'Law', 'Firm', 'Fluor', 'ad', 'wsj', 'nytimes', 'reuters', 'bloomberg', 'forbes', 'nasdaq', 'IHub_StockPosts', 'business', 'cnn', 'bet', 'foxnews', 'latimes', 'cnnmoneyinvest']",8727
2020-03-03 22:02:51,b'The one thing that comforts me in the craziness of #SuperTuesday is this...We are finding unity in the unlikeliest place: Our mutual loathing of #Bloomberg.   You cannot buy our votes. You will not be our Trump. #DropOutBloomberg https://t.co/tEMIethWyo',b'robinskyleigh',"['SuperTuesday', 'Bloomberg', 'DropOutBloomberg']",5589
2020-03-03 22:01:59,b'Pizza time? #coronavirus #TheFive #Bloomberg https://t.co/HKMOUSx5WA',b'palmaceia1',"['coronavirus', 'TheFive', 'Bloomberg']",4509
2020-03-03 21:59:48,"b'#bloomberg #bounce #supertuesday #vote @cnnpolitics @ Dayton, Ohio https://t.co/ryIaQQ8956'",b'gregreeseHD',"['bloomberg', 'bounce', 'supertuesday', 'vote']",2282
2020-03-03 21:59:43,b'Will #Biden surge be enough? #Warren could do better in California and Texas. #Bloomberg could do worse. #Sanders likely to get most delegates.  This Super Tuesday is impossible to predict https://t.co/qfLIF6ya4s',b'marionmckeone',"['Biden', 'Warren', 'Bloomberg', 'Sanders']",4807
2020-03-03 21:59:31,"b""Hillary be like \xe2\x80\x99I got your roses over here.\xe2\x80\x99  Jeffrey Epstein didn't kill himself. #Bloomberg \xf0\x9f\x8e\xaf https://t.co/rZxS7jFqYz""",b'LawDog323',['Bloomberg'],41480
2020-03-03 21:57:59,b'#bloombergforthepeople #Bloomberg just voted for the first time ever',b'sahilm__',"['bloombergforthepeople', 'Bloomberg']",197
2020-03-03 21:55:57,"b""#TheFive..#Bloomberg shouldn't be able to BUY the #Presidency...you can buy #congress...#congressmen...#Senators...#Judges... #Governors..Sure...but NOT a #President.""",b'king7b4daily',"['TheFive', 'Bloomberg', 'Presidency', 'congress', 'congressmen', 'Senators', 'Judges', 'Governors', 'President']",1
2020-03-03 21:55:38,b'Brilliant viral campaign for #Bloomberg \xf0\x9f\x98\x8f https://t.co/XHrtZwl7Fz',b'LilEsBella',['Bloomberg'],1909
2020-03-03 21:55:18,b'How we can trust somebody who jump from party to party power just to keep power #bloomberg #warren instead of the one who is in politic for people all his life .. #Bernie2020',b'hnrtrust',"['bloomberg', 'warren', 'Bernie2020']",312
2020-03-03 21:55:03,"b'I believe in wealth earned honestly. I also believe in spending and giving wealth for the good of human creation. However, using wealth to buy a political office and gain influence over millions of people might not be what is best for Americans. #Bloomberg #Trump #Elections2020 https://t.co/ujATDbyy5v https://t.co/MUEkAbFLOP'",b'DrMichaelWright',"['Bloomberg', 'Trump', 'Elections2020']",502
2020-03-03 21:55:02,"b""At least #TomSteyer knew when it was over. Hey, I don't mind #Bloomberg splitting the moderate/conservative vote with Biden, but can anyone doubt he's an arrogant jerk? https://t.co/enG8QDZ5wf""",b'BruceMirken',"['TomSteyer', 'Bloomberg']",1615
2020-03-03 21:54:20,b'@BravoKiloActual Douchebag.  That\xe2\x80\x99s English for Bloomberg.  #SuperTuesday #Bloomberg2020 #Bloomberg',b'tedlogan1989',"['SuperTuesday', 'Bloomberg2020', 'Bloomberg']",19
