Username,Retweets,Text,Mentions,Hashtags
,2,"Sanders campaign calls new DNC debate rules that benefit Bloomberg ""rigged"" https://thehill.com/homenews/campaign/480943-sanders-campaign-hits-dnc-over-new-debate-criteria-the-definition-of-a … # FeelTheBern",,#
,0,Good for Michael Bloomberg ads against Tom Tillis.,,
,0,Not if she keeps kissing Bloomberg's ass,,
,0,"Agree to a point. Stop & frisk should come up at the debates, but welcoming Bush to NY? Nobody cares. The question also has to be asked by a Bloomberg minion - the MSM asks ?s & they're w/ him. But I do believe this plays 100% into Bernie's ""DNC loves billionaires"" narrative.",,
,0,With or without Bloomberg's money? https://twitter.com/AlxThomp/status/1223228248726941696 …,,
,0,one good thing about if/when Bloomberg becomes president is that we can all point at Iowa as being skippable,,
,0,maybe bloomberg is there to endorse Scott Brown...he drives a truck,,
,0,They're waiting for the Bloomberg devotion to money.,,
,0,Bloomberg SUCKS real bad!! https://twitter.com/rising_serpent/status/1223384866831708161 …,,
,0,So Stop & Frisk Dem-Indy-Repub-Indy-Dem War Hawk Bloomberg will save us by buying a slot on the stage and a convention second ballot round. This party is a whisker from becoming absolutely moribund.,,
,2,I’m done clowning Bloomberg and Steyer. We need their resources to get the message of what happened today in the senate out to disengaged people. POC have always felt this lack of a safety net in our country. Privileged white people need to get their heads out of the sand.,,
,0,hey lets set up a ni fund and let people to contribute to buy these great companies and make them British again.,,
,1,"Bloomberg is like Lyor Cohen, he's a devil but he's smart and you know what you're getting into from the jump. Biden is mentally challenged on some real shit. Putin and Xi would pick him apart, he's do absolutely nothing for Black folks and probably die midway through his term.",,
,0,You just bent the rules to let Bloomberg on the debate stage today.,,
,1,@ DNC Remember when you screwed Bernie last election? I hope you rest very comfortably on that Bloomberg money # FucktheDNCpic.twitter.com/4dDr9QUxK2,@,#
,0,It will be when Trump declares War with Iran and Marshall Law in October. And the Lemuels have lots of guns. Time to make sure the election happens. It's our last best hope. I'm thinking Bloomberg. We must get this monster out of the white house.,,
,0,"I suppose if you exclude Bloomberg from the debates, there's no way to attack him directly. It's too expensive to try to out-spend him.",,
,0,The fact that Bloomberg thought it was a good idea to break the story themselves...is all you need to know. pic.twitter.com/zpi0hJ2v5J,,
,0,Guess they forgot how bad nyc was. Rudy fixed it. Bloomberg kept it going. This new guy sucks,,
,0,"1 It's laughable that you believe Trudeau and co. can change that. BNN Bloomberg reported that nearly 50% of Canadians are living paycheck to paycheck. During a so called ""booming economy"".",,
,0,"gonna just giggle to myself as bloomberg helps biden, buttigieg, and klobuchar split the annoying centrist vote also can the men in this race really stop having b names, it is getting low key challenging",,
,0,It’s about time the dems woke up. Bloomberg is the only one who really knows how to push tRumps buttons.,,
,2,PLEASE DONATE TO MR. YANG TO STOP OLD MONEY BAGS BLOOMBERG!!!! BLOOMBERG AND THE DNC ARE CHEATING THE SYSTEM AND CHANGING THE RULES.,,
,0,"So they'll do it for Bloomberg, but didn't for Booker or Castro. Got it",,
,0,Idk seems in line with the sudden rule changes to get Bloomberg in the next debates,,
,0,"Sorry, we know Bloomberg is your boy now....you're worse than Lewandowski, sociopath",,
,0,more like Mayo Bloomberg,,
,0,"Not sure that's their motivation here. They want Bloomberg on stage because they know Biden is starting to fade and they don't think Warren can beat Sanders. It is dreadful, though, that Booker, Harris & Castro are out when Buttigieg, Biden & Klobuchar are all still in.",,
,3,The Democratic Party is so corrupt if it weren't for Bernie Sanders they'd never get my vote. Republican billionaire Bloomberg literally bought his way into the party & onto the debate stage. New DNC debate rules open door for Mike Bloomberg to make stage https://www.nbcnews.com/politics/2020-election/new-dnc-debate-rules-open-door-mike-bloomberg-make-stage-n1127676?fbclid=IwAR1j_Ljnc_fgg5YJv1IEPLcA0ufIEvdUIzOWuM3kh8-3I2vxthw7OI3aB34 …,,
,0,The DNC doesn't want to get a Democrat elected President ever again lmfao Mike Bloomberg wins big debate break as Democratic National Committee changes rules in his favor https://www.nydailynews.com/news/politics/ny-bloomberg-debate-democratic-20200131-cwx6oqpflrdttnegdpz3wv5sri-story.html …,,
,0,"DNC overhauls debate requirements, opening door for Bloomberg https://politi.co/2tYyCM4 via @ politico",@,
,0,Oh geez. They aren’t evolving the rules to accommodate Bloomberg,,
,0,Bloomberg Makes His Move Into Third Place Nationally Passing Fauxcahontas https://www.redstate.com/tladuke/2020/01/31/bloomberg-makes-his-move-into-third-place-nationally-passing-fauxcahontas/ …,,
