Date,clinton,democrat,republican,trump
4/12/2015,"317,734","14,083",0,"5,817"
4/13/2015,"235,600","6,355",0,"3,964"
4/14/2015,"135,632","7,509",0,"4,236"
4/15/2015,"93,821","7,363",0,"4,744"
4/16/2015,"81,529","5,674",0,"4,830"
4/17/2015,"54,200","4,439",0,"5,449"
4/18/2015,"37,368","3,355",0,"5,682"
4/19/2015,"42,536","3,779",0,"4,277"
4/20/2015,"61,934","4,422",0,"4,562"
4/21/2015,"72,146","5,379",0,"9,274"
4/22/2015,"65,427","4,664",0,"5,881"
4/23/2015,"86,991","4,756",0,"5,408"
4/24/2015,"78,232","4,120",0,"3,880"
4/25/2015,"48,711","4,211",0,"3,667"
4/26/2015,"46,745","4,300",0,"6,167"
4/27/2015,"54,926","6,474",0,"4,421"
4/28/2015,"40,746","11,095",0,"35,815"
4/29/2015,"65,110","9,676",0,"13,610"
4/30/2015,"50,866","9,899",0,"8,110"
5/1/2015,"34,695","6,019",0,"6,819"
5/2/2015,"21,550","4,092",0,"9,411"
5/3/2015,"20,809","4,194",0,"5,507"
5/4/2015,"41,759","5,241",0,"5,272"
5/5/2015,"48,465","4,497",0,"5,381"
5/6/2015,"56,883","6,047",0,"5,365"
5/7/2015,"46,495","5,170",0,"5,862"
5/8/2015,"32,826","11,340",0,"4,513"
5/9/2015,"22,117","3,659",0,"4,898"
5/10/2015,"19,194","3,695",0,"4,386"
5/11/2015,"33,669","5,559",0,"6,219"
5/12/2015,"34,560","5,627",0,"7,091"
5/13/2015,"29,771","5,539",0,"7,191"
5/14/2015,"53,099","6,635",0,"4,571"
5/15/2015,"45,349","4,825",0,"4,087"
5/16/2015,"35,311","3,394",0,"4,061"
5/17/2015,"31,551","3,454",0,"3,245"
5/18/2015,"37,265","4,105",0,"3,577"
5/19/2015,"78,187","5,426",0,"4,819"
5/20/2015,"55,050","5,325",0,"4,958"
5/21/2015,"44,241","3,827",0,"5,458"
5/22/2015,"67,435","3,732",0,"3,826"
5/23/2015,"36,589","3,516",0,"3,051"
5/24/2015,"21,378","3,096",0,"3,253"
